model,term,coef,std_err,p_value,r_squared,n_rows,formula
provider_family_plus_bias_type,Intercept,0.42454867906328875,0.03267212261698897,1.3194984155216056e-38,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(provider_family)[T.gemini],-0.11034526370274564,0.06060066780804748,0.06862831223967795,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(provider_family)[T.gemma],-0.030250409376142255,0.04543386513420007,0.5055313192818209,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(provider_family)[T.glm],0.20695304416732774,0.08298859079144875,0.012640048162846446,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(provider_family)[T.qwen],-0.04532400190106005,0.03936581797786366,0.24958652646857393,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(bias_type)[T.moral_yes_no_bias],-0.02281970950896617,0.03367169112564088,0.49795430934565454,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(bias_type)[T.polarity_negation_gap],-0.31703566309430253,0.06362651407513524,6.268360908377561e-07,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
provider_family_plus_bias_type,C(bias_type)[T.sycophancy_wrong_belief_agreement],-0.23378434694954617,0.03892131530428036,1.8946691463493816e-09,0.03757541434179512,587,bias_score ~ C(provider_family) + C(bias_type)
deployment_plus_bias_type,Intercept,0.3804112215464438,0.0275513598281914,2.3014853066440933e-43,0.02042142990145024,587,bias_score ~ C(deployment) + C(bias_type)
deployment_plus_bias_type,C(deployment)[T.local],0.04129309368827458,0.033200903476170156,0.21359746483420472,0.02042142990145024,587,bias_score ~ C(deployment) + C(bias_type)
deployment_plus_bias_type,C(bias_type)[T.moral_yes_no_bias],-0.022819709508967168,0.03382552877451777,0.499910998926107,0.02042142990145024,587,bias_score ~ C(deployment) + C(bias_type)
deployment_plus_bias_type,C(bias_type)[T.polarity_negation_gap],-0.3218537444260752,0.05689248352457266,1.5383744279189132e-08,0.02042142990145024,587,bias_score ~ C(deployment) + C(bias_type)
deployment_plus_bias_type,C(bias_type)[T.sycophancy_wrong_belief_agreement],-0.2583002495390862,0.03684065091503234,2.3614161070609373e-12,0.02042142990145024,587,bias_score ~ C(deployment) + C(bias_type)
training_state_plus_bias_type,Intercept,0.3806587460426869,0.027553616774543505,2.0637821464699755e-43,0.02765699481183259,587,bias_score ~ C(training_state) + C(bias_type)
training_state_plus_bias_type,C(training_state)[T.base_or_instruct],0.08379185361870803,0.04980252315183972,0.09247539353443188,0.02765699481183259,587,bias_score ~ C(training_state) + C(bias_type)
training_state_plus_bias_type,C(training_state)[T.sft_debiased],0.039853630259970865,0.044250971292665614,0.36778654488037543,0.02765699481183259,587,bias_score ~ C(training_state) + C(bias_type)
training_state_plus_bias_type,C(training_state)[T.sft_dpo_debiased],-0.16545241778520925,0.14121359503074649,0.24133900103615435,0.02765699481183259,587,bias_score ~ C(training_state) + C(bias_type)
training_state_plus_bias_type,C(training_state)[T.sft_structured_cr],-0.027606687200346966,0.048522804198158444,0.5693951386974475,0.02765699481183259,587,bias_score ~ C(training_state) + C(bias_type)
training_state_plus_bias_type,C(bias_type)[T.moral_yes_no_bias],-0.022819709508968222,0.03382924864429302,0.4999581425120544,0.02765699481183259,587,bias_score ~ C(training_state) + C(bias_type)
